Instant,WindPark,Producer,Forecasted,Produced
28/12/2022 00:00:00,Wind parks in the Sky,Green Power Inc.,18.256,18.954
28/12/2022 01:00:00,Wind parks in the Sky,Green Power Inc.,16.78978418,16.21127042
28/12/2022 02:00:00,Wind parks in the Sky,Green Power Inc.,18.16514837,19.86514139
28/12/2022 03:00:00,Wind parks in the Sky,Green Power Inc.,13.44385569,12.14539647
28/12/2022 04:00:00,Wind parks in the Sky,Green Power Inc.,12.60263323,12.66114078
28/12/2022 05:00:00,Wind parks in the Sky,Green Power Inc.,16.82893951,17.59135394
28/12/2022 06:00:00,Wind parks in the Sky,Green Power Inc.,18.494987,18.57462594
28/12/2022 07:00:00,Wind parks in the Sky,Green Power Inc.,19.42788761,19.65222866
28/12/2022 08:00:00,Wind parks in the Sky,Green Power Inc.,18.2624528,17.2893003
28/12/2022 09:00:00,Wind parks in the Sky,Green Power Inc.,20.12174625,21.68604486
28/12/2022 10:00:00,Wind parks in the Sky,Green Power Inc.,18.75220546,17.73915264
28/12/2022 11:00:00,Wind parks in the Sky,Green Power Inc.,16.50669658,15.36632909
28/12/2022 12:00:00,Wind parks in the Sky,Green Power Inc.,20.37059786,22.31756344
28/12/2022 13:00:00,Wind parks in the Sky,Green Power Inc.,22.9139029,23.49337995
28/12/2022 14:00:00,Wind parks in the Sky,Green Power Inc.,23.40588546,23.34482234
28/12/2022 15:00:00,Wind parks in the Sky,Green Power Inc.,27.26943771,27.72214163
28/12/2022 16:00:00,Wind parks in the Sky,Green Power Inc.,27.54392934,27.43079221
28/12/2022 17:00:00,Wind parks in the Sky,Green Power Inc.,30,30
28/12/2022 18:00:00,Wind parks in the Sky,Green Power Inc.,28.58536347,27.49991345
28/12/2022 19:00:00,Wind parks in the Sky,Green Power Inc.,24.39330737,22.66616936
28/12/2022 20:00:00,Wind parks in the Sky,Green Power Inc.,28.17621314,29.16530284
28/12/2022 21:00:00,Wind parks in the Sky,Green Power Inc.,26.85015642,24.89376732
28/12/2022 22:00:00,Wind parks in the Sky,Green Power Inc.,23.96901516,23.35254376
28/12/2022 23:00:00,Wind parks in the Sky,Green Power Inc.,21.26502261,20.13343176
29/12/2022 00:00:00,Wind parks in the Sky,Green Power Inc.,24.49111403,25.81426769
29/12/2022 01:00:00,Wind parks in the Sky,Green Power Inc.,23.16969394,22.86097157
29/12/2022 02:00:00,Wind parks in the Sky,Green Power Inc.,18.89280825,17.58368215
